Ano,Janeiro,Fevereiro,Março,Abril,Maio,Junho,Julho,Agosto,Setembro,Outubro,Novembro,Dezembro
1985,184.9,242.9,230.0,59.0,126.2,14.6,4.0,21.8,126.1,71.1,111.3,155.2
1986,199.6,221.0,218.7,106.5,113.1,3.9,30.3,27.85,34.5,60.7,242.5,389.9
1987,525.8,249.3,161.3,98.1,293.8,183.9,11.8,30.9,80.2,84.8,72.7,152.1
1988,268.7,224.4,189.2,175.1,224.9,58.6,1.3,0.2,28.4,173.9,100.2,289.8
1989,312.9,344.3,288.2,66.3,21.7,52.5,150.1,32.9,52.1,80.1,88.0,236.7
1990,284.1,196.9,310.1,85.8,77.9,50.6,121.2,76.3,97.2,206.8,116.3,149.8
1991,330.7,340.3,522.4,200.3,43.3,96.8,28.2,37.3,101.4,168.0,67.3,237.9
1992,129.2,258.5,227.97,87.2,93.5,11.6,40.9,24.7,150.6,219.6,145.04,211.7
1993,221.5,225.7,110.0,84.6,133.9,74.7,11.2,40.8,210.1,134.1,125.5,170.5
1994,196.9,184.4,231.6,111.4,54.9,30.5,39.2,2.4,1.8,147.6,86.6,276.3
1995,373.8,383.1,267.7,73.9,79.7,31.2,46.8,1.5,44.2,202.6,115.1,236.04
1996,334.3,376.5,284.5,42.3,21.7,45.1,12.2,41.2,179.4,179.8,87.4,243.9
1997,235.0,187.6,57.1,63.2,88.2,124.7,12.5,28.8,118.0,151.8,236.3,217.4
1998,231.6,430.1,211.2,56.9,133.8,16.6,16.6,45.5,99.5,203.1,41.5,198.4
1999,305.79,339.0,162.3,34.9,47.2,86.3,31.0,0.0,76.9,64.5,76.0,100.4
2000,387.7,304.0,190.4,50.0,9.7,9.8,74.0,27.85,120.3,105.5,322.0,281.0
2001,283.1,221.9,241.2,28.7,85.0,31.0,31.7,26.9,82.3,213.1,181.6,292.9
2002,300.6,173.6,354.8,95.3,137.6,2.3,23.0,41.5,84.0,143.9,201.4,263.7
2003,443.4,141.5,250.2,45.5,36.6,20.7,24.5,27.6,41.5,176.7,133.0,89.9
2004,188.8,316.9,127.2,160.5,77.4,75.6,105.6,2.2,13.8,120.6,215.5,181.0
2005,378.3,95.9,202.1,137.3,177.1,35.1,39.8,11.5,150.3,195.3,96.6,140.1
2006,230.9,223.5,407.9,65.4,23.7,34.8,78.6,9.2,86.2,71.9,175.0,353.3
2007,208.7,301.0,240.2,67.6,63.1,17.2,134.3,0.1,27.4,167.2,211.7,268.7
2008,388.0,136.4,332.8,123.6,80.9,55.7,0.0,52.5,49.9,144.3,125.4,152.9
2009,356.4,145.0,73.6,75.3,58.1,28.3,157.7,27.85,198.9,157.4,237.2,294.5
2010,549.1,175.4,258.9,116.4,52.8,20.2,78.4,1.2,100.4,73.8,129.2,234.7
2011,428.4,349.5,265.1,142.0,40.1,81.3,1.5,49.7,10.7,218.2,73.4,393.7
2012,401.5,226.0,165.9,149.1,82.4,59.66,105.5,3.7,31.9,93.9,154.0,623.2
2013,321.7,372.1,175.0,103.4,39.4,210.9,168.8,15.3,45.1,110.7,76.6,139.9
2014,189.7,236.1,222.9,110.2,71.0,11.5,51.9,20.5,82.1,23.8,209.3,258.0
2015,249.3,303.5,265.9,100.4,87.2,25.4,62.7,40.5,280.9,139.89,145.04,221.9
2016,242.8,225.2,288.1,92.2,141.4,207.3,0.0,82.2,29.1,116.9,181.2,129.2
2017,305.79,249.3,120.8,156.3,166.1,101.6,0.2,53.4,12.0,121.2,174.4,169.6
2018,238.2,84.5,227.97,66.4,25.8,15.0,20.5,27.85,72.9,203.4,134.1,258.0
2019,305.79,315.5,318.5,172.3,97.3,59.0,195.1,6.7,73.7,75.9,170.8,249.0
2020,408.1,249.3,95.5,5.6,13.7,163.8,54.6,62.1,22.9,213.9,162.1,236.04
